,roi,p_value
0,SFG_L_7_1,0.7376042638218393
1,SFG_R_7_1,0.061876878704565486
2,SFG_L_7_2,0.49874907076230013
3,SFG_R_7_2,0.7376042638218393
4,SFG_L_7_3,0.25980443944554016
5,SFG_R_7_3,0.8403699701309062
6,SFG_L_7_4,0.5934874977560287
7,SFG_R_7_4,0.7376042638218393
8,SFG_L_7_5,0.25980443944554016
9,SFG_R_7_5,0.296001338014862
10,SFG_L_7_6,0.4377589088697885
11,SFG_R_7_6,0.7376042638218393
12,SFG_L_7_7,0.5682366036329867
13,SFG_R_7_7,0.5682366036329867
14,MFG_L_7_1,0.7376042638218393
15,MFG_R_7_1,0.8777137332821888
16,MFG_L_7_2,0.4013010126611172
17,MFG_R_7_2,0.5682366036329867
18,MFG_L_7_3,0.5682366036329867
19,MFG_R_7_3,0.4013010126611172
20,MFG_L_7_4,0.4377589088697885
21,MFG_R_7_4,0.5682366036329867
22,MFG_L_7_5,0.6761743325317434
23,MFG_R_7_5,0.296001338014862
24,MFG_L_7_6,0.20014850716070218
25,MFG_R_7_6,0.9574533680683832
26,MFG_L_7_7,0.4377589088697885
27,MFG_R_7_7,0.7376042638218393
28,IFG_L_6_1,0.2090425641976615
29,IFG_R_6_1,0.6761743325317434
30,IFG_L_6_2,0.20014850716070218
31,IFG_R_6_2,0.25980443944554016
32,IFG_L_6_3,0.061876878704565486
33,IFG_R_6_3,0.7376042638218393
34,IFG_L_6_4,0.296001338014862
35,IFG_R_6_4,0.8403699701309062
36,IFG_L_6_5,0.8403699701309062
37,IFG_R_6_5,0.4377589088697885
38,IFG_L_6_6,0.4377589088697885
39,IFG_R_6_6,0.02954800262625189
40,OrG_L_6_1,0.25980443944554016
41,OrG_R_6_1,0.8777137332821888
42,OrG_L_6_2,0.05431018621163179
43,OrG_R_6_2,0.9574533680683832
44,OrG_L_6_3,0.8403699701309062
45,OrG_R_6_3,0.8403699701309062
46,OrG_L_6_4,0.49874907076230013
47,OrG_R_6_4,0.8777137332821888
48,OrG_L_6_5,0.5934874977560287
49,OrG_R_6_5,0.33724132002352547
50,OrG_L_6_6,0.5934874977560287
51,OrG_R_6_6,0.7376042638218393
52,PrG_L_6_1,0.25980443944554016
53,PrG_R_6_1,0.10425978464335212
54,PrG_L_6_2,0.5682366036329867
55,PrG_R_6_2,0.4377589088697885
56,PrG_L_6_3,0.7376042638218393
57,PrG_R_6_3,0.9574533680683832
58,PrG_L_6_4,1.0
59,PrG_R_6_4,0.5934874977560287
60,PrG_L_6_5,0.8777137332821888
61,PrG_R_6_5,0.4013010126611172
62,PrG_L_6_6,0.9574533680683832
63,PrG_R_6_6,0.30915483498901947
64,PCL_L_2_1,0.8403699701309062
65,PCR_R_2_1,0.1541906866724413
66,PCL_L_2_2,0.4013010126611172
67,PCR_R_2_2,0.8403699701309062
68,STG_L_6_1,0.33724132002352547
69,STG_R_6_1,0.9574533680683832
70,STG_L_6_2,0.8403699701309062
71,STG_R_6_2,0.8777137332821888
72,STG_L_6_3,0.7376042638218393
73,STG_R_6_3,0.07049779029112194
74,STG_L_6_4,0.5682366036329867
75,STG_R_6_4,0.9574533680683832
76,STG_L_6_5,0.492694896094363
77,STG_R_6_5,0.9574533680683832
78,STG_L_6_6,0.9574533680683832
79,STG_R_6_6,0.5934874977560287
80,MTG_L_4_1,0.4013010126611172
81,MTG_R_4_1,0.49874907076230013
82,MTG_L_4_2,0.7376042638218393
83,MTG_R_4_2,0.8777137332821888
84,MTG_L_4_3,0.5682366036329867
85,MTG_R_4_3,0.9574533680683832
86,MTG_L_4_4,0.7376042638218393
87,MTG_R_4_4,0.11878563669440972
88,ITG_L_7_1,0.06871568613627434
89,ITG_R_7_1,0.8394570207691883
90,ITG_L_7_2,0.4013010126611172
91,ITG_R_7_2,0.7502443527563957
92,ITG_L_7_3,0.25980443944554016
93,ITG_R_7_3,0.5682366036329867
94,ITG_L_7_4,0.5934874977560287
95,ITG_R_7_4,0.4377589088697885
96,ITG_L_7_5,0.5682366036329867
97,ITG_R_7_5,0.6514390575310622
98,ITG_L_7_6,0.25980443944554016
99,ITG_R_7_6,0.49874907076230013
100,ITG_L_7_7,0.9574533680683832
101,ITG_R_7_7,0.05431018621163179
102,FuG_L_3_1,0.33724132002352547
103,FuG_R_3_1,0.5682366036329867
104,FuG_L_3_2,0.4013010126611172
105,FuG_R_3_2,0.06462651944020957
106,FuG_L_3_3,0.5682366036329867
107,FuG_R_3_3,0.5682366036329867
108,PhG_L_6_1,
109,PhG_R_6_1,0.367879441171624
110,PhG_L_6_2,0.3011942119122051
111,PhG_R_6_2,0.367879441171624
112,PhG_L_6_3,0.9574533680683832
113,PhG_R_6_3,0.4377589088697885
114,PhG_L_6_4,
115,PhG_R_6_4,
116,PhG_L_6_5,
117,PhG_R_6_5,
118,PhG_L_6_6,0.2090425641976615
119,PhG_R_6_6,0.03672315391132588
120,pSTS_L_2_1,0.30915483498901947
121,pSTS_R_2_1,0.49874907076230013
122,pSTS_L_2_2,0.9574533680683832
123,pSTS_R_2_2,0.4377589088697885
124,SPL_L_5_1,0.5682366036329867
125,SPR_R_5_1,0.08388899270179818
126,SPL_L_5_2,0.5682366036329867
127,SPR_R_5_2,0.8403699701309062
128,SPL_L_5_3,0.20014850716070218
129,SPR_R_5_3,0.296001338014862
130,SPL_L_5_4,0.07049779029112194
131,SPR_R_5_4,0.7376042638218393
132,SPL_L_5_5,0.8777137332821888
133,SPR_R_5_5,0.4013010126611172
134,IPL_L_6_1,0.4377589088697885
135,IPR_R_6_1,0.7376042638218393
136,IPL_L_6_2,0.5934874977560287
137,IPR_R_6_2,0.9574533680683832
138,IPL_L_6_3,0.6761743325317434
139,IPR_R_6_3,0.6761743325317434
140,IPL_L_6_4,0.6761743325317434
141,IPR_R_6_4,0.4013010126611172
142,IPL_L_6_5,0.25980443944554016
143,IPR_R_6_5,0.49874907076230013
144,IPL_L_6_6,0.07049779029112194
145,IPR_R_6_6,0.6761743325317434
146,PCun_L_4_1,0.9574533680683832
147,PCun_R_4_1,0.8777137332821888
148,PCun_L_4_2,0.5682366036329867
149,PCun_R_4_2,0.5682366036329867
150,PCun_L_4_3,0.4013010126611172
151,PCun_R_4_3,0.9574533680683832
152,PCun_L_4_4,0.6761743325317434
153,PCun_R_4_4,0.6761743325317434
154,PoG_L_4_1,0.6761743325317434
155,PoG_R_4_1,0.6761743325317434
156,PoG_L_4_2,0.5682366036329867
157,PoG_R_4_2,0.05431018621163179
158,PoG_L_4_3,0.18347952943681112
159,PoG_R_4_3,0.5682366036329867
160,PoG_L_4_4,0.7376042638218393
161,PoG_R_4_4,0.25980443944554016
162,INS_L_6_1,0.7376042638218393
163,INS_R_6_1,0.6761743325317434
164,INS_L_6_2,0.49874907076230013
165,INS_R_6_2,0.5934874977560287
166,INS_L_6_3,0.10425978464335212
167,INS_R_6_3,0.4013010126611172
168,INS_L_6_4,0.8777137332821888
169,INS_R_6_4,0.25980443944554016
170,INS_L_6_5,0.20014850716070218
171,INS_R_6_5,0.25980443944554016
172,INS_L_6_6,0.4377589088697885
173,INS_R_6_6,0.9574533680683832
174,CG_L_7_1,0.9574533680683832
175,CG_R_7_1,0.4013010126611172
176,CG_L_7_2,0.08388899270179818
177,CG_R_7_2,0.25980443944554016
178,CG_L_7_3,0.8403699701309062
179,CG_R_7_3,0.9574533680683832
180,CG_L_7_4,0.5934874977560287
181,CG_R_7_4,0.5682366036329867
182,CG_L_7_5,0.2090425641976615
183,CG_R_7_5,0.7376042638218393
184,CG_L_7_6,0.6761743325317434
185,CG_R_7_6,0.8403699701309062
186,CG_L_7_7,0.4377589088697885
187,CG_R_7_7,0.4377589088697885
188,MVOcC _L_5_1,0.4377589088697885
189,MVOcC _R_5_1,0.8403699701309062
190,MVOcC _L_5_2,0.8777137332821888
191,MVOcC _R_5_2,0.5934874977560287
192,MVOcC _L_5_3,0.5682366036329867
193,MVOcC _R_5_3,0.4377589088697885
194,MVOcC _L_5_4,0.7376042638218393
195,MVOcC _R_5_4,0.9574533680683832
196,MVOcC _L_5_5,0.5682366036329867
197,MVOcC _R_5_5,0.10425978464335212
198,LOcC_L_4_1,0.7376042638218393
199,ROcC_R_4_1,0.7376042638218393
200,LOcC _L_4_2,0.25980443944554016
201,ROcC _R_4_2,0.7376042638218393
202,LOcC _L_4_3,0.5934874977560287
203,ROcC _R_4_3,0.6761743325317434
204,LOcC_L_4_4,0.6761743325317434
205,ROcC_R_4_4,0.5682366036329867
206,LOcC_L_2_1,0.5682366036329867
207,ROcC_R_2_1,0.8403699701309062
208,LOcC_L_2_2,0.4377589088697885
209,ROcC_R_2_2,0.4013010126611172
210,Tha_L,0.5682366036329867
211,Caud_L,0.9574533680683832
212,Put_L,1.0
213,Palli_L,0.9574533680683832
214,Brainstem,0.5682366036329867
215,Hipp_L,0.9574533680683832
216,Amyg_L,0.49874907076230013
217,Accum_L,0.8777137332821888
218,Tha_R,0.6761743325317434
219,Caud_R,0.12406414835017408
220,Put_R,0.18347952943681112
221,Palli_R,0.04438105770969705
222,Hipp_R,0.5934874977560287
223,Amyg_R,
224,Accum_R,0.025177156546593173
